id,name,reference,term,platform,segment,variable,value,absolute,weight,timestamp
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,Global,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,Global,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,US,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,US,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,GB,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,GB,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,AU,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,AU,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,CA,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,CA,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,DE,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,DE,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,FR,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,FR,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,IN,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,IN,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,JP,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,JP,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,IT,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,IT,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,ES,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,ES,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,MX,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,MX,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,BR,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,BR,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,NL,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,NL,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,AR,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,AR,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,SE,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,SE,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,DK,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,DK,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,NO,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,NO,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,PL,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,PL,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,TR,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,TR,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,breshawebb,instagram,Weighted-Total,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,tombraider,instagram,Weighted-Total,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
