id,name,reference,term,platform,segment,variable,value,absolute,weight,timestamp
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,Global,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,Global,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,US,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,US,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,GB,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,GB,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,AU,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,AU,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,CA,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,CA,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,DE,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,DE,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,FR,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,FR,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,IN,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,IN,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,JP,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,JP,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,IT,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,IT,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,ES,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,ES,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,MX,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,MX,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,BR,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,BR,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,NL,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,NL,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,AR,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,AR,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,SE,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,SE,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,DK,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,DK,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,NO,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,NO,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,PL,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,PL,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,TR,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,TR,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,,twitter,Weighted-Total,Followers,Last 12 months - Percentile,0,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,,twitter,Weighted-Total,Followers,Last 12 months - Percentile,100,,2025-03-12 08:53:57
