id,name,reference,term,platform,segment,variable,value,absolute,weight,timestamp
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,Global,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,Global,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,Global,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,US,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,US,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,US,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,GB,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,GB,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,GB,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,AU,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,AU,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,AU,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,CA,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,CA,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,CA,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,DE,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,DE,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,DE,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,FR,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,FR,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,FR,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,IN,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,IN,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,IN,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,JP,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,JP,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,JP,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,IT,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,IT,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,IT,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,ES,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,ES,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,ES,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,MX,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,MX,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,MX,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,BR,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,BR,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,BR,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,NL,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,NL,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,NL,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,AR,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,AR,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,AR,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,SE,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,SE,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,SE,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,DK,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,DK,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,DK,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,NO,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,NO,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,NO,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,PL,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,PL,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,PL,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,TR,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,TR,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,TR,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
61ed3210-a0aa-417c-b635-ed1be1c09a52,Bresha Webb,breshawebb,Bresha Webb,youtube_search_term,Weighted-Total,Avg Search Volume L12M,Last 12 months - Percentile,0,,2025-03-12 08:53:57
701b04d1-d2a2-435c-a59c-13ac1f0e43be,Robocop,robocop,Robocop,youtube_search_term,Weighted-Total,Avg Search Volume L12M,Last 12 months - Percentile,33.3333,,2025-03-12 08:53:57
4d03736f-4316-45ed-8645-4dda06688b4c,Tomb Raider,tombraider,Tomb Raider,youtube_search_term,Weighted-Total,Avg Search Volume L12M,Last 12 months - Percentile,100,,2025-03-12 08:53:57
